Argentina,Austria,Brazil,Canada,Colombia,Ecuador,"Egypt, Arab Rep.",Finland,France,Germany,Hungary,Indonesia,India,"Iran, Islamic Rep.",Italy,China,Japan,"Korea, Rep.",Malaysia,Morocco,Pakistan,Portugal,Poland,Philippines,Romania,Russian Federation,South Africa,Slovenia,Spain,Slovak Republic,Serbia,Turkiye,United Kingdom,Uzbekistan,United States,Ukraine,Thailand,Sweden,Belgium,Mexico,EN.CO2.MANF.ZS,EN.ATM.CO2E.PC,SL.TLF.CACT.ZS,SL.TLF.ACTI.ZS,NV.MNF.TECH.ZS.UN,SL.AGR.EMPL.ZS,SL.IND.EMPL.ZS,SL.SRV.EMPL.ZS,SL.EMP.TOTL.SP.ZS,SL.UEM.TOTL.ZS,TX.VAL.MRCH.XD.WD,NE.CON.GOVT.ZS,NY.GDP.MKTP.CD,TM.VAL.MRCH.XD.WD,NV.AGR.TOTL.ZS,NV.AGR.TOTL.KD,NE.EXP.GNFS.ZS,NY.GDP.MKTP.KD,NY.GDP.PCAP.KD,NV.IND.TOTL.KD,NV.IND.TOTL.ZS,NV.SRV.TOTL.ZS,NV.SRV.TOTL.KD,NE.TRD.GNFS.ZS,NE.GDI.FTOT.ZS,NE.GDI.FTOT.CD,BX.KLT.DINV.WD.GD.ZS,BX.KLT.DINV.CD.WD,NV.IND.MANF.ZS,NV.IND.MANF.CD,auto,Australia
-0.688025082,0.249909332,-1.05371807,1.820092042,-1.016003792,-1.0199711,-1.007907865,0.94621884,-0.051689627,1.17156576,0.023419728,-1.157108674,-1.191988452,-0.587604739,0.157614589,-0.928803093,0.507969577,-0.126418291,-0.678812315,-1.144721058,-1.220235615,-0.471975591,0.582222969,-1.1878609,0.218959748,1.71054176,-0.036491561,0.079974563,-0.17776621,0.821884649,0.368661228,-0.794237865,0.711776813,-0.133789131,2.704612436,1.429913955,-0.9909226,-0.031752434,0.951428425,3.29880798,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.882316143
-1.024601911,-0.682452817,0.475416146,-0.529936101,0.624093327,-0.545379657,1.736911197,0.474559924,-0.168639203,-0.756752404,-0.076577869,0.134534558,0.848851558,-0.017473709,-0.41484568,1.985010795,0.555367094,0.037113677,0.898413702,0.774404989,1.11692782,-0.09276264,-1.35900343,0.765055894,1.983471744,-1.466274409,0.037265549,-0.36673046,-0.237880842,0.983853123,-0.869645134,0.537723353,-1.120610304,-3.116872127,-1.328541527,0.907935774,-0.527019288,0.123679869,0.64460839,20.73422354,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.773191673
-0.142295691,-0.646400027,0.15550274,0.969549446,0.909934697,0.421699763,-1.858154591,0.699074749,-0.589821131,-0.287606578,-0.835456261,0.861911675,-0.256833226,-1.872782172,-1.43160481,2.628277237,0.438259299,-0.01437187,0.323169552,-1.240892464,-1.486803964,-0.173069044,0.120175344,0.183516081,1.21063106,0.755515197,-0.184936614,-0.360193323,-1.594441735,0.754411825,-0.341839755,-0.484942843,0.400999949,0.694382258,0.735643965,-0.08613056,2.055726962,1.020607795,-1.626181065,57.77199936,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500358215
0.022379181,0.094755615,-0.17373761,1.153552812,0.28737032,-0.178407057,-2.042683929,1.199079924,-0.006804865,0.386596078,-0.270628643,0.090086168,-0.774928962,-2.308842431,-0.745744916,2.03024156,0.377257183,-0.499431566,-0.257787663,-1.783529599,-1.723994145,0.344571051,0.24301057,-0.400205808,0.701783777,1.054327055,-0.835631778,0.036387523,-0.828627607,1.001795772,-0.178407057,-0.823958159,1.113862509,-0.041825721,1.041486075,0.151956346,1.420878675,2.001057514,-0.938359621,60.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.790503277
-0.712287321,0.353220193,1.527949582,0.603235049,-0.763875872,-1.819026114,-0.848564557,0.068534933,1.817751017,1.742475697,0.868455585,-1.083590321,0.67128549,-0.439611907,0.899297044,0.473240031,1.664756357,1.142133776,0.909325279,-0.995737254,-0.76513606,-1.222862849,0.095306325,-0.742052103,-0.323747929,0.089301927,-0.440060059,0.037133931,0.293606138,-0.622868762,-0.754196805,-0.57782047,1.105707392,-1.181955392,1.461927604,-1.071019342,-1.075530804,0.905926776,-1.763621802,42.09677292,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.389499937
-0.66495692,0.373014788,-1.062919423,1.805277579,-1.025271443,-1.03448412,-1.023379968,1.003688498,0.041553148,1.144748147,-0.01790277,-1.162214605,-1.20352954,-0.541090206,0.173966138,-0.921557557,0.556338652,0.008673825,-0.576409109,-1.151702787,-1.241445238,-0.430673492,0.617967267,-1.211718707,-0.02132757,1.731660724,-0.081960598,0.014024575,-0.129810242,0.585021737,0.121156537,-0.793390874,0.777259654,-0.138410579,2.717553856,1.333552881,-0.975579885,-0.002575327,1.088252862,3.455242818,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.928808341
-1.051338921,-0.613444782,0.721667013,-0.450070741,0.760631543,-0.421933735,1.463446114,0.416104068,-0.214117285,-0.944725534,-0.374863634,0.017573768,0.784654288,0.41339281,-0.447425513,2.083846594,0.522514798,0.399212728,0.655634634,0.892985013,1.002836602,-0.007644849,-1.39905715,0.109906851,1.650383085,-1.583600178,-0.096026841,-0.443385264,-0.127439281,1.251517544,-1.048533795,0.783253853,-1.010061715,-3.0380876,-1.3273745,1.302838277,-0.412851025,0.037547715,0.72381684,18.91656063,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.664590984
-1.183943901,-0.773018215,-0.117967386,-1.009963272,0.109035944,0.439322952,0.952427777,-0.737117445,-0.869674119,-1.010515591,-0.563136837,1.86320244,2.294564011,0.175866547,-0.743745272,2.094624427,-0.831011768,-0.395784057,0.03944368,1.389312457,1.272220792,-0.554852067,0.209558068,1.277743902,0.442084613,-0.416219871,-0.567003057,-0.604008465,-0.638252264,-0.613950232,0.424410302,0.440979949,-1.083421755,1.043560361,-1.09612511,0.184151423,2.129420612,-0.990632096,-1.037026926,21.09000015,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.906679527
0.549619441,0.672074603,-0.68535589,-0.625431055,-1.164755562,-0.738767242,-0.95632089,0.012900177,-0.037905931,1.177528703,0.906563454,-1.757491546,-1.758794168,0.385476897,0.8179787,-0.948504661,0.769778332,1.060284029,0.346395504,-1.117857693,-0.922450234,0.692918045,0.978212757,-1.860406137,1.461520916,1.469336897,-0.017062489,2.230123291,0.476667144,1.729880175,-0.106949741,0.12753911,0.226545586,-0.375309497,-0.354466055,0.092365708,-1.72362089,-0.26978929,0.329460052,25.46999931,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.673631422
1.191992545,0.612124914,0.51236256,1.599354613,0.483265382,-0.158261044,-0.686169202,0.917646598,1.111628308,0.640529415,0.2241607,-1.401824321,-1.942895583,-0.425678903,0.497813971,-2.123021779,0.63290865,-0.067505071,-0.233775486,-1.147569301,-1.105308888,0.327386967,-0.783160058,-0.613425995,-1.332545026,-0.259408752,0.720200447,-0.427757461,0.547695148,-0.149947338,-0.476253021,-0.621046495,1.238409546,-1.109465741,1.563329612,-0.279499811,-1.754455947,1.385974784,1.126177426,53.43999863,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.496128611
