"","Series.Code","year","Australia","Argentina","Austria","Belgium","Brazil","Canada","China","Colombia","Ecuador","Egypt, Arab Rep.","Finland","France","Germany","Hungary","Indonesia","India","Iran, Islamic Rep.","Italy","Japan","Malaysia","Mexico","Morocco","Pakistan","Philippines","Poland","Portugal","Romania","Russian Federation","Serbia","Slovenia","Slovak Republic","South Africa","Korea, Rep.","Spain","Turkiye","Sweden","Thailand","United Kingdom","United States","Ukraine","Uzbekistan"
"1","EG.ELC.ACCS.ZS",2016,1,0.995241472911146,1,1,0.990509494715564,1,1,0.949384534974681,0.958874798905543,1,1,1,1,1,0.924709510859435,0.658908266601305,0.998418168668069,1,1,0.996836578689713,0.984182652094989,0.930403765759382,0.1,0.74902631263494,1,1,0.971528725500266,1,1,1,1,0.490681445729369,1,1,1,1,0.995253540589904,1,1,1,1
"2","EG.ELC.ACCS.RU.ZS",2016,1,0.976312281542471,1,1,0.968785103388846,1,1,0.852607196962896,0.934499924735296,1,1,1,1,1,0.899443990631271,0.689737295110833,0.996677874662863,1,1,0.991906368636852,0.966014361057905,0.906693690608208,0.1,0.758458975902866,1,1,1,1,1,1,1,0.506164817962991,1,1,1,1,0.997435579627985,1,1,1,1
"3","EG.ELC.ACCS.UR.ZS",2016,1,0.995577491560212,1,1,0.992357835448869,1,1,0.984715670897736,0.984715670897736,0.99943909649056,1,1,1,1,0.984715670897736,0.861400859430121,0.99923560862695,1,1,1,0.984715670897736,0.946504265082298,0.943557480948524,0.739411925904765,1,1,0.961788594184562,1,1,1,1,0.1,1,1,1,1,0.986573299360386,1,1,1,1
"4","NY.ADJ.NNTY.CD",2016,0.151422513478157,0.124682513732248,0.116474120057592,0.120171273367937,0.185994111329786,0.16805314523854,0.579184903286969,0.111647670860496,0.102643758248939,0.115097503110646,0.109237109967544,0.215296078843689,0.263440773119233,0.103974271682694,0.139733134070327,0.210594307729468,0.117208242126682,0.18533679873155,0.318787670350732,0.110322042822976,0.146149075870978,0.103214668545155,0.112678800862506,0.116401092347764,0.120546705809834,0.107471017573341,0.106665742683355,0.155144931995944,0.1,0.100085237532773,0.102183970694393,0.113055386449644,0.167611772455089,0.157315050703181,0.139269634160467,0.122563074240546,0.116144228480595,0.224895846185564,1,0.102735041688805,0.102302257938525
"5","NY.ADJ.NNTY.PC.CD",2016,0.80541876930971,0.278742017767878,0.77110929684079,0.720102810722499,0.21784939929229,0.717354261116953,0.192042963169844,0.171243147629532,0.168093023908846,0.133664605831013,0.745027176666215,0.657752524725175,0.740861631244331,0.274059971057149,0.129990159289558,0.10525584647629,0.153148172150363,0.552801240471999,0.651305977785157,0.205222507303704,0.20806126030609,0.124613981391663,0.1,0.135045419869523,0.272535175794975,0.376237410772198,0.220550686429797,0.205936561585621,0.164729972509636,0.389308217308459,0.323768978039767,0.164872483858342,0.525759256927076,0.498206800756926,0.245268884033992,0.890959022311831,0.161775220299296,0.715942660360457,1,0.113103970002363,0.120716649394375
"6","NV.AGR.TOTL.KD.ZG",2016,0.431317723259402,0.500879463433465,0.701771952830354,0.431684446076946,0.486240045121785,0.755744493865822,0.731599946879438,0.715983394514463,0.661819632811508,0.726377791239344,0.701217433360033,0.280241354719428,0.586502405116417,1,0.734339128371859,0.833176179165956,0.779679853607423,0.635376399453147,0.404532124842741,0.531616313261654,0.738517900597572,0.1,0.641448389832748,0.609214379472893,0.649698763437819,0.602725712511995,0.708100050382367,0.688454428109676,0.852024338520344,0.597050011702324,0.88930545506951,0.488342555456732,0.474406138146631,0.774760314513554,0.56215818808306,0.591397982098779,0.603595938645484,0.344786300595961,0.850291874110819,0.819787195466323,0.815009714541317
"7","NV.AGR.TOTL.CD",2016,0.127994064112817,0.133881934946844,0.103492249951541,0.102095475570224,0.186542669774775,0.127439869867696,1,0.117715242167818,0.108586453759307,0.138061581826346,0.104655057077012,0.134491501113398,0.123239346357532,0.104097465962935,0.22413812968172,0.472885047333893,0.143717202133856,0.135146049741662,0.155145962539441,0.124492761851653,0.135040898272054,0.110580530326833,0.168819857389714,0.131482502404427,0.111493569295827,0.103362185266787,0.107033604281457,0.147920724299897,0.10187640034396,0.1,0.101125358702858,0.106893246273518,0.126875395068397,0.133794094478671,0.15228797815527,0.106296771727323,0.133999963075299,0.114522862992649,0.274525414281179,0.110013336235487,0.124218636670662
"8","NV.AGR.TOTL.KD",2016,0.127182409584985,0.126636947767638,0.103310454830308,0.101933480954245,0.168523482272988,0.127651359158227,1,0.116115350436266,0.108064207126672,0.135538427340929,0.104242189662893,0.131432231415478,0.120397934852805,0.104182846185307,0.212050289197042,0.440802396581706,0.139808226748249,0.134804206260286,0.138897451693744,0.121785595142079,0.135567032078793,0.109129057867944,0.159839824002494,0.13053980802812,0.110439583062531,0.103051074557217,0.106746511459895,0.149697777648047,0.101851739359818,0.1,0.101157889603652,0.106069074219721,0.125222059635981,0.131377757907089,0.153528446779043,0.105937105861391,0.132250849430834,0.114772270694374,0.289221848951717,0.110136931297354,0.124303424585209
"9","NV.AGR.TOTL.ZS",2016,0.157418490854739,0.278450780789565,0.116838131427011,0.101728581284824,0.23539340182403,0.140414420508309,0.33466197406083,0.289169453122364,0.380494822257948,0.451053523451375,0.154473711011439,0.127084968494238,0.103923373496331,0.203999951310743,0.504653105587002,0.59511456151478,0.388816613579722,0.14248848758297,0.11729795045132,0.347368271849984,0.186953053924891,0.405671449688452,0.782133732286913,0.402007918403316,0.164969861981099,0.146797876906603,0.216608306427578,0.202434786239919,0.295589090647155,0.144112627188116,0.152334256526897,0.157721256337261,0.140314365666299,0.17057888385523,0.274616859619241,0.125881854668119,0.347855921386722,0.1,0.11158074039674,0.449685901922856,1
"10","AG.LND.ARBL.HA.PC",2016,1,0.680456391663663,0.194484927179132,0.136079763732067,0.27785347113535,0.870168331932447,0.144335968758152,0.107898717306562,0.124543281001363,0.101278434573571,0.383041699049816,0.284175705281352,0.186310920730424,0.406557048459904,0.151824907688465,0.167019924033384,0.211067939751551,0.162349417981407,0.104976140341876,0.1,0.213046920448488,0.253886668919685,0.188006525923195,0.120053622621508,0.291198407173606,0.151002694926257,0.402925539226201,0.704232249813223,0.3529725293001,0.146637807577056,0.264143755560178,0.237987938068609,0.101142496927823,0.277001807639947,0.266762859384095,0.271925679627668,0.256780030628808,0.148573140104226,0.440638759753316,0.619506846269339,0.174369193145889
"11","NV.MNF.CHEM.ZS.UN",2016,0.304057677218543,0.421007177292816,0.330359952867226,1,0.452089584663708,0.334763492895312,0.35921108413659,0.556558231820621,0.270667238172098,0.390941264499497,0.380343246831766,0.442061938795685,0.347713400852391,0.389617486758105,0.331547445215158,0.597183276035985,0.781326663785499,0.295305292993069,0.377472329639779,0.329184139039237,0.291711473969997,0.651450114713529,0.523446122576098,0.201231509577368,0.243417651719335,0.213480548393627,0.148999017806885,0.463763044216038,0.268114455952593,0.150982110345526,0.1,0.23369543631286,0.358391020095069,0.41747104122496,0.2419185234181,0.428503846616654,0.249251590096585,0.233520006868157,0.550265698694829,0.230245412778434,0.303128381830309
"12","EN.ATM.CO2E.KD.GD",2016,0.187207640168387,0.203175669271161,0.13804895830028,0.15433905175737,0.178154194824459,0.220289975970707,0.427811422093705,0.186556319864423,0.242593883428529,0.357666425523966,0.149287090900485,0.122458182536481,0.161423211927444,0.216710422551318,0.297664210722735,0.483219933238394,0.656985536244881,0.144824949538795,0.180001323340514,0.390798385060271,0.237255043705625,0.301902910746748,0.341083325096504,0.227719594216889,0.330734025746708,0.170921407888073,0.236278176805485,0.56357781842632,0.558092963492366,0.202300990233073,0.217433205417878,0.592797606005814,0.243552471306152,0.153989280945277,0.248428705771536,0.1,0.339314132985449,0.122328947412914,0.181584616745299,1,0.564484233832142
"13","EN.ATM.CO2E.PC",2016,1,0.300331569047236,0.484732934112049,0.546028043353572,0.178437309282959,0.970487446722174,0.474372741714081,0.153035187875151,0.19398767864542,0.18775791773056,0.546103385615628,0.33037251702398,0.591311882117664,0.318670819967613,0.159406960568438,0.147293845066369,0.484737165273574,0.377767610023711,0.598282462808527,0.496422947307071,0.281998419093459,0.151968001395221,0.1,0.118799511805553,0.520984427255389,0.33142173716421,0.266386742507502,0.69969796549153,0.44388289065348,0.451417224619425,0.395812895750587,0.499436647230651,0.767633704468235,0.366784044635613,0.325516876773692,0.282782107300432,0.270653122170288,0.396037034133606,0.954316111627068,0.316999054493032,0.246706990875558
"14","EN.ATM.CO2E.KT",2016,0.133869700332348,0.115448505107061,0.104543463171838,0.107330875134747,0.139536707319281,0.149553686324636,1,0.106277609396711,0.102364827985762,0.119835894331794,0.102902413259765,0.127383082859661,0.166924355915114,0.102770070451917,0.142770435791277,0.299093677278322,0.154151912391826,0.129155561283384,0.205316529253697,0.120267606473665,0.141930742820876,0.10423679304689,0.115261399577946,0.109862728428086,0.126094336062312,0.103181701849994,0.105265415264411,0.242165309332535,0.102986382278268,0.1,0.101606367064173,0.137534227346358,0.154943229135687,0.121277974102593,0.132920484008438,0.102270818769447,0.122607791112997,0.133488188831363,0.545456529777706,0.117137015904963,0.10833576743161
"15","EN.ATM.CO2E.PP.GD",2016,0.593793319922969,0.346418745416239,0.215876466709789,0.278233882196363,0.242087069429653,0.584274688104176,0.957278293179136,0.189040927079538,0.369017278688873,0.368954867882214,0.304845216174116,0.161142570278348,0.294004189735384,0.259638039006268,0.287156843534986,0.492846253009801,0.899046469857184,0.214649940110394,0.383467123000562,0.5256169707348,0.330597423579673,0.371671828729049,0.293636548525016,0.243233554609342,0.486222295918394,0.236924370374462,0.241779973337073,0.79798910240751,0.74526418922881,0.330118086850371,0.324987538880183,1,0.530996790658527,0.223830630870064,0.289460333114678,0.1,0.387084955678498,0.200037896575498,0.450953750064644,0.759606865902363,0.878084196910661
"16","IC.EXP.CSBC.CD",2016,0.636276849642005,0.207398568019093,0.1,0.1,0.717152625298329,0.219331766109785,0.446642553699284,0.551073985680191,0.500954653937947,0.28472553699284,0.252147971360382,0.1,0.347016706443914,0.1,0.281675417661098,0.395774295942721,0.397411408114558,0.1,0.289636014319809,0.29618138424821,0.386396181384248,0.211529260143198,0.320831933174224,0.42649508353222,0.1,0.1,0.1,0.586873508353222,0.133830548926014,0.1,0.1,1,0.232260119331742,0.1,0.355161097852029,0.139379474940334,0.259348544152745,0.300477326968974,0.225298329355609,0.153699284009547,0.298969952267303
