Country Name,Country Code,Series Name,Series Code,1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Argentina,ARG,Access to electricity (% of population),EG.ELC.ACCS.ZS,94.4920120239258,94.8150024414063,95.1331558227539,95.7832870483398,95.5110626220703,96.2288665771484,96.4426345825195,96.6535034179688,96.8638458251953,97.076057434082,97.2927932739258,97.5167541503906,97.7506561279297,98.8199996948242,99.0953521728516,99.22998046875,99.3426742553711,100,99.6253890991211,99.8495788574219,100,99.9895782470703,100,100,..
Argentina,ARG,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,83.247062020095,84.2638406906497,85.4318646348945,90.1027221679688,86.0806427001953,91.3668823242188,91.8974227905273,92.3015747070313,92.5335083007813,92.5624923706055,92.4385299682617,92.2349166870117,92.0323944091797,96.125373840332,95.8507995605469,94.6899337768555,94.6871871948242,100,97.0914993286133,98.8367691040039,100,99.8718109130859,100,100,..
Argentina,ARG,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,95.9440383911133,96.1512680053711,96.3380737304688,96.475212097168,96.6375961303711,96.7986602783203,96.9653396606445,97.1445846557617,97.3433380126953,97.5664443969727,97.8103103637695,98.0692672729492,98.3376083374023,99.091423034668,99.416633605957,99.6723709106445,99.7891464233398,100,99.8606872558594,99.9421310424805,100,100,100,100,..
Argentina,ARG,Adequacy of social protection and labor programs (% of total welfare of beneficiary households),per_allsp.adq_pop_tot,..,..,..,..,..,..,..,..,..,40.860254835823,..,..,..,37.0139554841883,29.8767149932002,32.7864583220457,38.150376132637,38.585603446258,..,39.5254494096802,40.437905879588,39.5780983833536,40.0545300501292,..,..
Argentina,ARG,Adequacy of social insurance programs (% of total welfare of beneficiary households),per_si_allsi.adq_pop_tot,..,..,..,..,..,..,..,..,..,42.1950496263914,..,..,..,39.6634007635173,32.5162579141245,35.7393513105137,42.8277408552611,41.1077089129823,..,42.0915907133739,44.8928037030482,44.0031982945349,43.8143441556179,..,..
Argentina,ARG,Adequacy of social safety net programs (% of total welfare of beneficiary households),per_sa_allsa.adq_pop_tot,..,..,..,..,..,..,..,..,..,12.6710903057301,..,..,..,10.9621758748799,11.3343497372497,10.4701654975154,11.3135759745517,15.3433027130018,..,13.0350725165158,9.62710174078375,10.5718842589501,12.6130308369275,..,..
Argentina,ARG,Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),per_lm_alllm.adq_pop_tot,..,..,..,..,..,..,..,..,..,21.5215949236643,..,..,..,10.8666234585669,7.148708960209,9.28141254956263,..,..,..,..,..,..,11.2678225503691,..,..
Argentina,ARG,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,7.4029373618353,3.14058983432855,-5.91164211403861,-0.782956771276147,-5.01709831999274,-11.3581599472008,10.7690154732008,-0.801495360738997,7.82674905316718,21.0811375714392,12.3794759172502,5.96577622077403,-7.44722210433302,11.254859934036,9.15564615200324,-1.55602620908998,2.10308369563433,-3.40009167257504,5.13244184925927,-2.0944685133817,5.69869384130808,-5.60440985989817,-4.23802050263347,-7.21326970360984,..
Argentina,ARG,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,252739842411.327,257207915602.207,238884218717.109,237659381124.75,223566966151.659,74851512162.7165,101636867120.234,121896063333.372,147089753394.708,191369799309.218,242036523892.509,303834336041.639,277268785233.569,351469926202.716,441167988088.882,452034789622.237,457947074633.198,436577156654.803,504983468532.134,470668912836.887,550285828305.081,436649416740.588,371323128176.697,327255215138.132,..
Argentina,ARG,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,317808873350.017,327789946519.041,308412177995.037,305997443963.985,290645251343.647,257633298817.092,285377868630.822,283090578253.17,305247367406.206,369596984862.304,415351154594.216,440130075007.708,407352610773.917,453199576554.16,494692926145.836,486995374560.492,497237294881.367,480330771025.169,504983468532.134,494406748785.946,522581475730.022,493293867978.207,472387972715.057,438313354195.705,..
